episode,reward,violations,violation_rate,modifications,modification_rate
1,20.0,2,0.1,0,0.0
2,29.0,3,0.061224489795918366,0,0.0
3,36.0,7,0.08235294117647059,0,0.0
4,15.0,9,0.09,0,0.0
5,12.0,11,0.09821428571428571,0,0.0
6,24.0,12,0.08823529411764706,0,0.0
7,31.0,20,0.11976047904191617,0,0.0
8,48.0,24,0.11162790697674418,0,0.0
9,21.0,26,0.11016949152542373,0,0.0
10,14.0,27,0.108,0,0.0
11,28.0,32,0.11510791366906475,0,0.0
12,57.0,35,0.1044776119402985,0,0.0
13,40.0,35,0.09333333333333334,0,0.0
14,35.0,36,0.08780487804878048,0,0.0
15,48.0,39,0.0851528384279476,0,0.0
16,43.0,39,0.07784431137724551,0,0.0
17,12.0,40,0.07797270955165692,0,0.0
18,37.0,40,0.07272727272727272,0,0.0
19,60.0,42,0.06885245901639345,0,0.0
20,52.0,45,0.06797583081570997,0,0.0
21,27.0,49,0.07111756168359942,0,0.0
22,33.0,54,0.07479224376731301,0,0.0
23,62.0,59,0.07525510204081633,0,0.0
24,31.0,60,0.0736196319018405,0,0.0
25,22.0,60,0.07168458781362007,0,0.0
26,106.0,62,0.06574761399787911,0,0.0
27,47.0,63,0.06363636363636363,0,0.0
28,59.0,71,0.06768350810295519,0,0.0
29,112.0,74,0.06373815676141258,0,0.0
30,56.0,75,0.06162695152013147,0,0.0
31,18.0,77,0.062348178137651825,0,0.0
32,104.0,79,0.05899925317401045,0,0.0
33,26.0,80,0.05860805860805861,0,0.0
34,34.0,83,0.059328091493924234,0,0.0
35,31.0,84,0.05874125874125874,0,0.0
36,87.0,85,0.05603164139749506,0,0.0
37,65.0,88,0.05562579013906448,0,0.0
38,35.0,91,0.05627705627705628,0,0.0
39,34.0,94,0.05693519079345851,0,0.0
40,76.0,96,0.055587724377533294,0,0.0
41,44.0,102,0.05759457933370977,0,0.0
42,59.0,103,0.05628415300546448,0,0.0
43,174.0,105,0.05239520958083832,0,0.0
44,79.0,105,0.050408065290446474,0,0.0
45,34.0,105,0.04959848842701937,0,0.0
46,174.0,108,0.04714098646879092,0,0.0
47,40.0,109,0.04676104676104676,0,0.0
48,27.0,110,0.04664970313825276,0,0.0
49,24.0,111,0.04659949622166247,0,0.0
50,40.0,115,0.047481420313790254,0,0.0
51,22.0,116,0.04746317512274959,0,0.0
52,23.0,116,0.047020672882042966,0,0.0
53,116.0,118,0.045683313975996905,0,0.0
54,67.0,119,0.04490566037735849,0,0.0
55,79.0,134,0.049102235251007695,0,0.0
56,24.0,135,0.04903741373047584,0,0.0
57,164.0,137,0.04696606102159753,0,0.0
58,100.0,144,0.047729532648326155,0,0.0
59,98.0,145,0.04654895666131621,0,0.0
60,130.0,155,0.04776579352850539,0,0.0
61,62.0,162,0.04898699727850015,0,0.0
62,175.0,164,0.04709936817920735,0,0.0
63,39.0,166,0.04714569724510082,0,0.0
64,130.0,173,0.04738427827992331,0,0.0
65,123.0,181,0.04795972443031266,0,0.0
66,430.0,185,0.04400570884871551,0,0.0
67,113.0,196,0.04540189946722261,0,0.0
68,54.0,202,0.04621368107984443,0,0.0
69,249.0,202,0.043722943722943726,0,0.0
70,203.0,211,0.04374870412606262,0,0.0
71,129.0,213,0.04301292407108239,0,0.0
72,91.0,216,0.04283164782867341,0,0.0
73,111.0,222,0.04307334109429569,0,0.0
74,181.0,226,0.042361761949390814,0,0.0
75,378.0,226,0.03955890075266935,0,0.0
76,251.0,230,0.03856472166331321,0,0.0
77,284.0,241,0.03857234314980794,0,0.0
78,372.0,244,0.036858006042296075,0,0.0
79,454.0,244,0.034492507774950526,0,0.0
80,319.0,245,0.03313945624239145,0,0.0
81,141.0,255,0.03384656225112822,0,0.0
82,500.0,262,0.03261140154344038,0,0.0
83,230.0,268,0.032429816069699906,0,0.0
84,76.0,274,0.0328537170263789,0,0.0
85,312.0,279,0.032246879334257975,0,0.0
86,362.0,289,0.03206123807410694,0,0.0
87,500.0,296,0.03111204540676897,0,0.0
88,223.0,298,0.030604909109582006,0,0.0
89,284.0,298,0.02973755114260054,0,0.0
90,204.0,300,0.029339853300733496,0,0.0
91,184.0,309,0.029685848784705544,0,0.0
92,137.0,311,0.029489853973070357,0,0.0
93,125.0,323,0.030268953237747167,0,0.0
94,246.0,328,0.03004488412567555,0,0.0
95,397.0,329,0.02907901714689765,0,0.0
96,270.0,337,0.029091850828729282,0,0.0
97,258.0,337,0.028458030738051004,0,0.0
98,355.0,337,0.027629745019267033,0,0.0
99,234.0,338,0.02719008929289679,0,0.0
100,469.0,338,0.0262015503875969,0,0.0
