CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	1	37.72	17.48	209	0.0554	209	0.0554
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	2	138.12	62.18	391	0.0283	391	0.0283
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	3	101.83	54.83	242	0.0238	242	0.0238
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	4	71.65	28.05	430	0.0600	430	0.0600
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	5	53.99	33.37	322	0.0596	322	0.0596
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	6	56.43	26.23	327	0.0579	327	0.0579
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	7	100.25	29.74	327	0.0326	327	0.0326
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	8	192.39	69.55	633	0.0329	633	0.0329
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	9	28.82	15.50	169	0.0586	169	0.0586
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	10	353.82	89.44	143	0.0040	143	0.0040
