CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	1	58.62	18.95	285	0.0486	285	0.0486
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	2	50.18	21.71	286	0.0570	286	0.0570
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	3	131.59	40.80	312	0.0237	312	0.0237
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	4	35.75	21.56	195	0.0545	195	0.0545
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	5	102.31	72.04	329	0.0322	329	0.0322
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	6	53.54	27.99	301	0.0562	301	0.0562
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	7	44.55	26.66	273	0.0613	273	0.0613
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	8	32.19	18.79	203	0.0631	203	0.0631
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	9	122.27	50.77	375	0.0307	375	0.0307
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	10	52.71	19.14	267	0.0507	267	0.0507
