method,display_name,metric,n,mean,std,median,iqr,q1,q3,min,max,ci_lo_95,ci_hi_95
ppo_unshielded,PPO (Unshielded),reward,10,193.56599999999997,27.087398546187487,186.3,24.150000000000006,179.1325,203.2825,153.38,241.87,178.416,210.08387499999998
ppo_unshielded,PPO (Unshielded),viol_rate,10,0.018423704184774185,0.003420044929193769,0.01906832725926577,0.002817806778794389,0.01751645886043572,0.02033426563923011,0.009753982876341173,0.021823204419889504,0.016148657714504525,0.02011618390919568
ppo_unshielded,PPO (Unshielded),mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_reward_shaping,PPO + Reward Shaping,reward,10,218.637,71.9213034503686,233.76500000000001,95.08250000000001,171.97,267.0525,90.78,310.98,174.26749999999998,259.050225
ppo_reward_shaping,PPO + Reward Shaping,viol_rate,10,0.024615669417388634,0.02385262191426207,0.021588029309980824,0.02100445022984719,0.008197289782128917,0.029201740011976108,0.002763480603820512,0.08548138356466183,0.012689697005061822,0.040143925100504727
ppo_reward_shaping,PPO + Reward Shaping,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_semantic_loss,PPO + Semantic Loss,reward,10,253.55300000000003,93.67813548410206,255.97,136.21499999999997,173.425,309.64,136.9,433.43,200.79105,309.858275
ppo_semantic_loss,PPO + Semantic Loss,viol_rate,10,0.017698024037765093,0.013366814450427362,0.011312420573758697,0.017787326125987747,0.008924362469738253,0.026711688595726,0.004382944086156158,0.04558071585098612,0.010359485284479093,0.025871803948893636
ppo_semantic_loss,PPO + Semantic Loss,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_action_mask,PPO + Action Mask,reward,10,171.89899999999997,17.17722487610978,170.105,26.457499999999982,156.1125,182.57,153.78,203.33,162.22357499999998,182.52000000000004
ppo_action_mask,PPO + Action Mask,viol_rate,10,0.053895495609441124,0.004817108994174025,0.05378492415705077,0.005718342533936778,0.04993635400955303,0.055654696543489805,0.04773037210208455,0.06288708909004288,0.051163146827216364,0.0568756283324951
ppo_action_mask,PPO + Action Mask,mod_rate,10,0.053895495609441124,0.004817108994174025,0.05378492415705077,0.005718342533936778,0.04993635400955303,0.055654696543489805,0.04773037210208455,0.06288708909004288,0.051163146827216364,0.0568756283324951
ppo_preshield_soft,PPO + Pre-emptive (Soft),reward,10,231.31000000000003,34.68497401213128,233.815,49.0925,200.1075,249.2,190.27,292.66,211.25254999999999,252.25124999999997
ppo_preshield_soft,PPO + Pre-emptive (Soft),viol_rate,10,0.014101917772462388,0.005933260639140282,0.015124918926014901,0.010889906637367575,0.008230565893116786,0.01912047253048436,0.0062871591608009295,0.022165212929707544,0.010717820447186012,0.017508295608862693
ppo_preshield_soft,PPO + Pre-emptive (Soft),mod_rate,10,0.01141344197297547,0.004722686950617166,0.012489192332035028,0.008643675536911106,0.006708575488496583,0.015352251025407689,0.005227909519579034,0.017650076962544895,0.008710490044037462,0.014124877819139547
ppo_preshield_hard,PPO + Pre-emptive (Hard),reward,10,269.676,121.47968666040883,238.83,92.27249999999998,202.6325,294.905,110.59,500.0,203.76875,346.35735
ppo_preshield_hard,PPO + Pre-emptive (Hard),viol_rate,10,0.027905775876572926,0.044736966043042954,0.015529800630758817,0.01274382745669941,0.009976720134217618,0.022720547590917028,0.00026,0.15308798263857493,0.01019111338438359,0.05710642458954456
ppo_preshield_hard,PPO + Pre-emptive (Hard),mod_rate,10,0.027905775876572926,0.044736966043042954,0.015529800630758817,0.01274382745669941,0.009976720134217618,0.022720547590917028,0.00026,0.15308798263857493,0.01019111338438359,0.05710642458954456
ppo_layer_soft,PPO + Layer (Soft),reward,10,263.88899999999995,106.03769868934978,220.19,111.83250000000004,201.8675,313.70000000000005,139.11,480.53,206.81987499999997,329.38384999999994
ppo_layer_soft,PPO + Layer (Soft),viol_rate,10,0.012760986331617494,0.007111516416412012,0.013688731370329433,0.009225400389473792,0.007451419042027871,0.016676819431501663,0.0016023973529228144,0.02465674645963626,0.008688399836002884,0.016916067025461463
ppo_layer_soft,PPO + Layer (Soft),mod_rate,10,0.010368711849836242,0.0055565037941082375,0.011442892589059733,0.007445386755025559,0.006315647939461149,0.013761034694486708,0.0014151041558279399,0.019265329595284306,0.007131584616727965,0.013573492443096715
ppo_layer_hard,PPO + Layer (Hard),reward,10,180.599,154.3984231676822,152.33499999999998,137.39000000000001,64.77250000000001,202.16250000000002,9.49,487.28,97.22900000000001,277.5856999999999
ppo_layer_hard,PPO + Layer (Hard),viol_rate,10,0.05313449709487571,0.05189946109247936,0.03781023606038984,0.06158998572733064,0.013518126265130926,0.07510811199246156,0.00012825116708562047,0.14428929466523452,0.024767835505045466,0.08608717889159112
ppo_layer_hard,PPO + Layer (Hard),mod_rate,10,0.05313449709487571,0.05189946109247936,0.03781023606038984,0.06158998572733064,0.013518126265130926,0.07510811199246156,0.00012825116708562047,0.14428929466523452,0.024767835505045466,0.08608717889159112
cppo,CMDP,reward,10,162.209,95.18985898951865,138.10000000000002,162.95499999999998,87.715,250.67,42.88,307.89,107.87785,219.31559999999996
cppo,CMDP,viol_rate,10,0.010212406244794466,0.008096465184065696,0.008408644504729241,0.009734592283739104,0.004421839326990867,0.01415643161072997,0.00019474955207603024,0.02681902985074627,0.005756052058625586,0.015133003551290082
cppo,CMDP,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
