a,b,mean_a,mean_b,median_a,median_b,t_stat,t_p_raw,t_p_fdr,u_stat,u_p_raw,u_p_fdr
ppo_unshielded,ppo_reward_shaping,0.0005135865141473429,0.002168259837153121,1.6785282664160063e-05,0.0007000000000000001,-1.6310607574869516,0.1333724893107174,0.20875693979068813,39.0,0.40532234382219123,0.5612155529845725
ppo_unshielded,ppo_semantic_loss,0.0005135865141473429,0.0019090141049342441,1.6785282664160063e-05,0.00035836629406706794,-1.5707073327259415,0.14567255824222453,0.2185088373633368,40.0,0.45150957147227055,0.6020127619630273
ppo_unshielded,ppo_action_mask,0.0005135865141473429,0.30182622584826335,1.6785282664160063e-05,0.30975181253557027,-36.64357855924217,4.0159281038147126e-11,1.3143037430666333e-10,0.0,0.00016304893553653745,0.00032880922399719005
ppo_unshielded,ppo_preshield_soft,0.0005135865141473429,0.002470389978021782,1.6785282664160063e-05,0.0016960262698615114,-1.8513878319502093,0.09357269691518608,0.15311895858848631,28.5,0.10098693495641448,0.15806650688830093
ppo_unshielded,ppo_preshield_hard,0.0005135865141473429,0.09777612243486523,1.6785282664160063e-05,0.1061237687217802,-7.751553814355847,2.8323880222238874e-05,5.729824526080716e-05,0.0,0.00016304893553653745,0.00032880922399719005
ppo_unshielded,ppo_layer_soft,0.0005135865141473429,0.00245392699371651,1.6785282664160063e-05,0.0005455789582553565,-1.5116850603700778,0.16240701001557478,0.23386609442242767,24.5,0.0554682463091997,0.09076622123323588
ppo_unshielded,ppo_layer_hard,0.0005135865141473429,0.1860586845146132,1.6785282664160063e-05,0.18791556313073499,-65.70032092702215,1.508920840085547e-13,9.053525040513281e-13,0.0,0.00016304893553653745,0.00032880922399719005
ppo_unshielded,cppo,0.0005135865141473429,0.009155046614625881,1.6785282664160063e-05,0.0,-1.1098178228041569,0.2957904012319306,0.4095559401672885,49.0,0.9669986665066835,0.9946271998354458
ppo_reward_shaping,ppo_semantic_loss,0.002168259837153121,0.0019090141049342441,0.0007000000000000001,0.00035836629406706794,0.1993799945349749,0.8442451051741375,0.8846831908300331,53.0,0.8451983848066009,0.894915936854048
ppo_reward_shaping,ppo_action_mask,0.002168259837153121,0.30182622584826335,0.0007000000000000001,0.30975181253557027,-36.20183332068249,2.7422052557676056e-11,1.0968821023070423e-10,0.0,0.00017265399688226737,0.00032880922399719005
ppo_reward_shaping,ppo_preshield_soft,0.002168259837153121,0.002470389978021782,0.0007000000000000001,0.0016960262698615114,-0.21265557566970872,0.8339898332591591,0.8846831908300331,45.0,0.7281677610833472,0.7943648302727424
ppo_reward_shaping,ppo_preshield_hard,0.002168259837153121,0.09777612243486523,0.0007000000000000001,0.1061237687217802,-7.597961223968542,3.115978171851041e-05,5.729824526080716e-05,0.0,0.00017265399688226737,0.00032880922399719005
ppo_reward_shaping,ppo_layer_soft,0.002168259837153121,0.00245392699371651,0.0007000000000000001,0.0005455789582553565,-0.17892900317276614,0.8601086577514212,0.8846831908300331,41.5,0.5421435508900526,0.6970417082872106
ppo_reward_shaping,ppo_layer_hard,0.002168259837153121,0.1860586845146132,0.0007000000000000001,0.18791556313073499,-61.71994654013888,1.6690778797024725e-15,1.502170091732225e-14,0.0,0.00017265399688226737,0.00032880922399719005
ppo_reward_shaping,cppo,0.002168259837153121,0.009155046614625881,0.0007000000000000001,0.0,-0.8907119777469684,0.3955731134086221,0.4995346445327217,56.0,0.6568773112170798,0.7628252646391895
ppo_semantic_loss,ppo_action_mask,0.0019090141049342441,0.30182622584826335,0.00035836629406706794,0.30975181253557027,-36.29675201677797,3.049367878536861e-11,1.09777243627327e-10,0.0,0.00017265399688226737,0.00032880922399719005
ppo_semantic_loss,ppo_preshield_soft,0.0019090141049342441,0.002470389978021782,0.00035836629406706794,0.0016960262698615114,-0.42093090732342664,0.6789564155957292,0.788465514885363,43.0,0.6156417277942268,0.7446435722928698
ppo_semantic_loss,ppo_preshield_hard,0.0019090141049342441,0.09777612243486523,0.00035836629406706794,0.1061237687217802,-7.624341351730317,3.082326573132583e-05,5.729824526080716e-05,0.0,0.00017265399688226737,0.00032880922399719005
ppo_semantic_loss,ppo_layer_soft,0.0019090141049342441,0.00245392699371651,0.00035836629406706794,0.0005455789582553565,-0.35860078493649433,0.7246358886106825,0.8152153746870179,43.0,0.6205363102440582,0.7446435722928698
ppo_semantic_loss,ppo_layer_hard,0.0019090141049342441,0.1860586845146132,0.00035836629406706794,0.18791556313073499,-62.65942330455354,5.243679453513753e-15,3.7754492065299024e-14,0.0,0.00017265399688226737,0.00032880922399719005
ppo_semantic_loss,cppo,0.0019090141049342441,0.009155046614625881,0.00035836629406706794,0.0,-0.9255680872048054,0.37827091295408266,0.4995346445327217,55.0,0.716261460038319,0.7943648302727424
ppo_action_mask,ppo_preshield_soft,0.30182622584826335,0.002470389978021782,0.30975181253557027,0.0016960262698615114,36.14214176106982,2.6547513176445196e-11,1.0968821023070423e-10,100.0,0.00017861448837368167,0.00032880922399719005
ppo_action_mask,ppo_preshield_hard,0.30182622584826335,0.09777612243486523,0.30975181253557027,0.1061237687217802,13.605575252901195,4.876421759551755e-10,1.3503937180297167e-09,100.0,0.00018267179110955002,0.00032880922399719005
ppo_action_mask,ppo_layer_soft,0.30182622584826335,0.00245392699371651,0.30975181253557027,0.0005455789582553565,36.005210097855205,2.0661949472969593e-11,1.0626145443241505e-10,100.0,0.00018267179110955002,0.00032880922399719005
ppo_action_mask,ppo_layer_hard,0.30182622584826335,0.1860586845146132,0.30975181253557027,0.18791556313073499,13.32668197641409,3.6335471241001065e-08,9.343406890543131e-08,100.0,0.00018267179110955002,0.00032880922399719005
ppo_action_mask,cppo,0.30182622584826335,0.009155046614625881,0.30975181253557027,0.0,25.857182439906943,1.1807504235871507e-15,1.4169005083045808e-14,100.0,0.00014939276635154945,0.00032880922399719005
ppo_preshield_soft,ppo_preshield_hard,0.002470389978021782,0.09777612243486523,0.0016960262698615114,0.1061237687217802,-7.571848190083495,3.18323584782262e-05,5.729824526080716e-05,0.0,0.00017861448837368167,0.00032880922399719005
ppo_preshield_soft,ppo_layer_soft,0.002470389978021782,0.00245392699371651,0.0016960262698615114,0.0005455789582553565,0.010138233134786402,0.9920269952595598,0.9920269952595598,49.5,1.0,1.0
ppo_preshield_soft,ppo_layer_hard,0.002470389978021782,0.1860586845146132,0.0016960262698615114,0.18791556313073499,-61.31552353129397,1.1256564520733261e-15,1.4169005083045808e-14,0.0,0.00017861448837368167,0.00032880922399719005
ppo_preshield_soft,cppo,0.002470389978021782,0.009155046614625881,0.0016960262698615114,0.0,-0.8515863965258186,0.4158039031090166,0.4995346445327217,61.0,0.40532234382219123,0.5612155529845725
ppo_preshield_hard,ppo_layer_soft,0.09777612243486523,0.00245392699371651,0.1061237687217802,0.0005455789582553565,7.560510648642095,3.1056972505091656e-05,5.729824526080716e-05,100.0,0.00018267179110955002,0.00032880922399719005
ppo_preshield_hard,ppo_layer_hard,0.09777612243486523,0.1860586845146132,0.1061237687217802,0.18791556313073499,-6.86681172071337,4.585614440242119e-05,7.861053326129346e-05,0.0,0.00018267179110955002,0.00032880922399719005
