a,b,mean_a,mean_b,median_a,median_b,t_stat,t_p_raw,t_p_fdr,u_stat,u_p_raw,u_p_fdr
ppo_unshielded,ppo_reward_shaping,0.12858292392108445,0.11791921937073557,0.13067996934865483,0.11387511275075447,1.437738969909399,0.17223281502860296,0.20001230132353895,64.0,0.3074894566186813,0.3459256386960165
ppo_unshielded,ppo_semantic_loss,0.12858292392108445,0.14736211430173546,0.13067996934865483,0.14752271543933698,-2.12578444488028,0.05404832844667548,0.0748361470800122,26.0,0.07566157214388701,0.10088209619184935
ppo_unshielded,ppo_action_mask,0.12858292392108445,0.09336998115325298,0.13067996934865483,0.09137623174222484,8.244390893845864,5.905895683961888e-07,5.3153061155656994e-06,100.0,0.00018267179110955002,0.0008220230599929751
ppo_unshielded,ppo_preshield_soft,0.12858292392108445,0.07260372325472439,0.13067996934865483,0.07389239574596834,11.498613991479832,1.1590674998274742e-09,3.154465241596058e-08,100.0,0.00018267179110955002,0.0008220230599929751
ppo_unshielded,ppo_preshield_hard,0.12858292392108445,0.10076391160390111,0.13067996934865483,0.09970881622721506,5.896390000770712,1.59998060890051e-05,5.7599301920418356e-05,97.0,0.00043963875262656465,0.0011304996496111664
ppo_unshielded,ppo_layer_soft,0.12858292392108445,0.0726110535814007,0.13067996934865483,0.07258990382331591,11.11208411035143,1.7524806897755877e-09,3.154465241596058e-08,100.0,0.00018267179110955002,0.0008220230599929751
ppo_unshielded,ppo_layer_hard,0.12858292392108445,0.10576921126553121,0.13067996934865483,0.10655034420113031,5.084027936379104,0.00010216240827903442,0.0002451897798696826,95.0,0.0007685389131627666,0.0016274941690505645
ppo_unshielded,cppo,0.12858292392108445,0.0899472925528962,0.13067996934865483,0.10047034328579793,3.2874872252744267,0.007338840068733558,0.012009011021564004,91.0,0.0022022199424970783,0.003963995896494741
ppo_reward_shaping,ppo_semantic_loss,0.11791921937073557,0.14736211430173546,0.11387511275075447,0.14752271543933698,-2.8508025578292893,0.010963054331517681,0.017159563301505937,17.0,0.014019277113959951,0.02194321635228514
ppo_reward_shaping,ppo_action_mask,0.11791921937073557,0.09336998115325298,0.11387511275075447,0.09137623174222484,3.585868863909751,0.004190323434953321,0.007183411602777121,89.0,0.003610514312329602,0.006189453106850745
