episode,reward,violations,violation_rate,modifications,modification_rate
1,100.0,68,0.12546125461254612,0,0.0
2,40.0,139,0.14946236559139786,0,0.0
3,160.0,199,0.11951951951951952,0,0.0
4,40.0,262,0.127867252318204,0,0.0
5,100.0,331,0.13224131042748702,0,0.0
6,340.0,401,0.11398521887436043,0,0.0
7,60.0,469,0.11927772126144456,0,0.0
8,280.0,549,0.1159940840904289,0,0.0
9,260.0,625,0.11015156855833627,0,0.0
10,300.0,734,0.11212954476015888,0,0.0
11,240.0,803,0.1089995927786073,0,0.0
12,220.0,881,0.11013876734591824,0,0.0
13,220.0,954,0.10874273338652685,0,0.0
14,480.0,1184,0.113584036838066,0,0.0
15,340.0,1253,0.1092414995640802,0,0.0
16,300.0,1399,0.1117322897532146,0,0.0
17,180.0,1473,0.11187908248518913,0,0.0
18,280.0,1539,0.10970915312232678,0,0.0
19,240.0,1616,0.10854379365932294,0,0.0
20,180.0,1689,0.10834562832766695,0,0.0
21,440.0,1888,0.10946831332985446,0,0.0
22,80.0,1949,0.1101814687093674,0,0.0
23,240.0,2017,0.10957192524989136,0,0.0
24,380.0,2227,0.11307438436151307,0,0.0
25,120.0,2302,0.11392091849359133,0,0.0
26,260.0,2371,0.11255637313078566,0,0.0
27,160.0,2433,0.11188264508415341,0,0.0
28,240.0,2500,0.11105681666740705,0,0.0
29,240.0,2566,0.11005318236404187,0,0.0
30,260.0,2696,0.11155708197128315,0,0.0
