episode,reward,violations,violation_rate,modifications,modification_rate
1,20.0,70,0.1674641148325359,0,0.0
2,80.0,145,0.15951595159515952,0,0.0
3,80.0,211,0.1539022611232677,0,0.0
4,200.0,286,0.13769860375541645,0,0.0
5,240.0,362,0.12622036262203626,0,0.0
6,240.0,472,0.1267454350161117,0,0.0
7,440.0,822,0.15877921576202433,0,0.0
8,100.0,908,0.16,0,0.0
9,400.0,1059,0.14645277278384733,0,0.0
10,220.0,1140,0.14271407110665998,0,0.0
11,260.0,1359,0.15208146821844226,0,0.0
12,340.0,1588,0.15749280967965884,0,0.0
13,620.0,2080,0.1750105174589819,0,0.0
14,480.0,2333,0.17448208810111435,0,0.0
15,560.0,2711,0.18084183843639517,0,0.0
16,480.0,2949,0.1791942638390958,0,0.0
17,440.0,3168,0.17925649295535562,0,0.0
18,400.0,3388,0.17828763879387466,0,0.0
19,400.0,3661,0.1809420254040429,0,0.0
20,260.0,3737,0.177302272619443,0,0.0
21,460.0,3967,0.17676677657962747,0,0.0
22,240.0,4106,0.17583076396026037,0,0.0
23,200.0,4179,0.1724934989887316,0,0.0
24,240.0,4252,0.16961863730652624,0,0.0
25,340.0,4464,0.17026470363872148,0,0.0
26,640.0,4853,0.17248365083878306,0,0.0
27,300.0,4930,0.16956147893379192,0,0.0
28,240.0,5007,0.1676544450025113,0,0.0
29,420.0,5084,0.16342012214721954,0,0.0
30,300.0,5308,0.1656058904280544,0,0.0
