CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	1	53.81	24.33	305	0.0567	305	0.0567
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	2	116.44	53.80	424	0.0364	424	0.0364
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	3	74.15	53.48	401	0.0541	401	0.0541
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	4	58.40	29.61	413	0.0707	413	0.0707
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	5	28.12	14.01	192	0.0683	192	0.0683
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	6	177.60	58.47	313	0.0176	313	0.0176
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	7	54.39	21.07	323	0.0594	323	0.0594
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	8	146.53	52.93	481	0.0328	481	0.0328
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	9	36.17	18.19	208	0.0575	208	0.0575
CartPole-v1	CPPO	emergency_cartpole.cnf	Unshielded	10	22.70	11.22	152	0.0670	152	0.0670
